Date,PFGOAAU LX Equity,SGVIEOP HK Equity,WEDINBU KY Equity,CCASORI MK Equity,CCASORI MK Equity,CCASLTF MK Equity,PFGLAAU LX Equity,PFARAAU LX Equity,PSGGFXU MV Equity,FBPBX US Equity,BLUESPH BM Equity,PGPGIFA ID Equity,CORGFRZ KY Equity,ORBGBIN LX Equity,AIBALMA AB Equity,FORTGOW KY Equity,GMFDEBI LE Equity,CRLCBUU LX Equity,PPLUCNH ID Equity
2020-01-05,116.12,8.427,9.2,2.5811,2.5811,3.3174,114.97,144.87,9.7048,15.36,1087.01,1.203,9.5693,12.95,16.6996,105.23,107.58,10.68,9.62
2020-01-17,122.95,10.688,11.52,2.5511,2.5511,3.2784,119.1,150.74,12.9791,19.41,1109.94,1.245,11.5919,15.45,17.8299,121.89,107.9,10.66,11.246
2020-01-24,122.95,10.78,11.29,2.5484,2.5484,3.2766,119.1,150.74,12.7432,19.06,1109.94,1.245,11.5919,15.15,17.8168,121.89,107.9,10.68,11.155
2020-01-31,124.81,10.126,10.91,2.5424,2.5424,3.2758,119.35,152.17,12.4676,18.67,1114.02,1.246,11.6094,14.65,17.695,119.02,108.09,10.69,10.818
2020-02-10,126.3,10.069,10.07,2.6935,2.6935,3.4563,121.95,156.04,10.9971,16.72,1119.46,1.241,10.293,14.22,18.8113,116.23,108.22,11.07,10.243
2020-02-14,124.81,10.149,11.01,2.5482,2.5482,3.2754,119.35,152.17,12.4455,19.2,1114.02,1.246,11.6094,15.03,17.5625,121.14,108.09,10.76,11.09
2020-02-21,124.81,10.057,10.96,2.5592,2.5592,3.2782,120.54,152.17,12.3281,18.95,1114.02,1.247,11.6094,14.89,17.6457,121.14,108.09,10.77,11.058
2020-02-28,124.31,9.516,9.97,2.5574,2.5574,3.2888,119.27,152.75,11.1861,17.13,1112.78,1.238,11.0683,13.93,17.0822,113.96,108.28,10.78,10.3
2020-03-07,121.57,9.348,10.01,2.6358,2.6358,3.3829,118.62,153.08,10.5008,16.18,1104.38,1.245,9.8078,13.82,17.9337,111.3,107.91,10.81,10.299
2020-03-13,124.31,8.398,8.3,2.5721,2.5721,3.2999,119.27,152.75,8.9351,15.22,1112.78,1.219,11.0683,12.15,16.4668,103.06,108.28,10.8,9.22
2020-03-20,124.31,7.712,7.72,2.5721,2.5721,3.2949,114.38,152.75,7.94,13.33,1112.78,1.178,11.0683,11.02,16.0512,103.06,108.28,10.73,8.981
2020-03-27,124.31,7.456,8.35,2.5625,2.5625,3.2941,114.38,152.75,8.7561,14.35,1112.78,1.178,11.0683,12.24,16.1875,103.06,108.28,10.67,9.296
2020-04-09,126.33,9.932,10.49,2.6902,2.6902,3.4602,123.29,155.57,11.3556,17.2,1133.37,1.248,10.4548,14.71,18.88,118.09,108.1,10.96,10.16
2020-04-12,128.34,11.53,11.57,2.7389,2.7389,3.5184,124.23,157.1,13.651,19.28,1158.1,1.28,11.4132,16.21,19.3108,125.27,108.56,11.15,11.075
2020-04-17,118.35,8.65,8.84,2.5766,2.5766,3.3116,114.32,143.85,9.2429,15.43,1076.21,1.201,9.3112,12.43,16.6991,101.27,107.95,10.69,9.628
2020-04-24,118.35,8.487,8.84,2.5808,2.5808,3.3167,114.32,143.85,9.2206,15.26,1076.21,1.201,9.3112,12.65,16.8738,101.27,107.95,10.69,9.611
2020-05-06,118.38,9.797,10.25,2.6114,2.6114,3.3552,117.02,151.06,11.2072,17.25,1097.59,1.243,9.7482,13.87,17.4875,108.43,107.73,10.76,10.449
2020-05-15,116.12,9.033,9.04,2.5927,2.5927,3.3325,115.36,144.87,9.235,15.15,1087.01,1.212,9.5693,12.78,16.9853,102.83,107.58,10.68,9.753
2020-05-22,116.12,9.405,9.38,2.6004,2.6004,3.3373,115.36,144.87,9.5113,15.58,1087.01,1.224,9.5693,13.24,17.2032,102.83,107.58,10.7,9.955
2020-05-29,118.38,9.537,9.6,2.5998,2.5998,3.3436,117.02,151.06,9.8991,16.05,1097.59,1.224,9.7482,13.39,17.3261,108.43,107.73,10.69,10.082
2020-06-03,124.31,9.669,9.9,2.5692,2.5692,3.2964,119.27,152.75,10.8548,16.78,1112.78,1.24,11.0683,14.09,16.7962,113.96,108.28,10.78,10.231
2020-06-11,125.56,10.628,10.37,2.7266,2.7266,3.4907,121.65,156.51,11.0851,17.22,1109.5,1.256,10.4276,14.69,18.8804,115.65,108.34,11.13,10.45
2020-06-19,118.38,9.62,9.9,2.6282,2.6282,3.371,117.37,151.06,10.5684,16.42,1097.59,1.245,9.7482,13.83,17.6913,110.62,107.73,10.77,10.394
2020-06-26,118.38,9.432,9.8,2.6415,2.6415,3.3919,117.37,151.06,10.2116,15.91,1097.59,1.241,9.7482,13.75,17.7114,110.62,107.73,10.79,10.238
2020-07-08,123.8,9.332,10.6,2.6775,2.6775,3.4373,121.1,153.93,11.0016,16.95,1122.17,1.246,9.9507,14.62,18.4428,114.55,108.09,10.85,10.313
2020-07-17,121.57,9.642,10.25,2.6583,2.6583,3.4325,120.44,153.08,10.8211,16.5,1104.38,1.24,9.8078,14.06,18.0629,114.66,107.91,10.86,10.452
2020-07-24,121.57,9.2,10.41,2.6688,2.6688,3.4292,120.44,153.08,10.8218,16.47,1104.38,1.246,9.8078,14.2,18.1828,114.66,107.91,10.88,10.343
2020-07-31,123.8,8.862,10.37,2.6673,2.6673,3.4277,121.1,153.93,10.7134,16.51,1122.17,1.244,9.9507,14.21,18.1828,114.55,108.09,10.87,10.121
2020-08-05,116.12,8.886,9.26,2.5871,2.5871,3.3203,114.97,144.87,9.6381,15.65,1087.01,1.204,9.5693,12.78,16.8233,105.23,107.58,10.71,9.785
2020-08-14,123.8,9.43,10.67,2.6689,2.6689,3.4311,121.1,153.93,11.3775,17.17,1122.17,1.25,9.9507,14.69,18.524,117.79,108.09,10.88,10.374
2020-08-21,123.8,9.458,10.54,2.6848,2.6848,3.4315,121.65,153.93,11.1495,16.9,1122.17,1.25,9.9507,14.53,18.6741,117.79,108.09,10.9,10.288
2020-08-28,123.8,9.698,10.69,2.6853,2.6853,3.4497,121.65,153.93,11.5999,17.33,1122.17,1.249,9.9507,14.68,18.7612,117.79,108.09,10.93,10.312
2020-09-10,126.3,10.335,10.44,2.7016,2.7016,3.4658,121.95,156.04,11.5368,17.28,1119.46,1.251,10.293,14.51,19.0639,116.23,108.22,11.1,10.458
